URL,letter,primary color,secondary colors,is_error,ms_no,folio,x,y,w,h,notes
"https://stacks.stanford.edu/image/iiif/wn160sd8740%2F273_72_R_TC_46/1187,4642,217,210/pct:40/0/default.jpg",,,,,273,72 R,1187,4642,217,210,
"https://stacks.stanford.edu/image/iiif/qj220gv8417%2F139_18_V_TC_46/1280,2055,267,325/pct:40/0/default.jpg",,,,,139,18 V,1280,2055,267,325,
"https://stacks.stanford.edu/image/iiif/jm097by4127%2F511_090_V_TC_46/3155,3937,272,300/pct:40/0/default.jpg",,,,,511,90 V,3155,3937,272,300,
"https://stacks.stanford.edu/image/iiif/rf713dy4795%2F484_650_R_TC_46/3227,1757,330,190/pct:40/0/default.jpg",,,,,484,650 R,3227,1757,330,190,
"https://stacks.stanford.edu/image/iiif/sw561ph9670%2F468_013_V_TC_46/2707,1365,195,247/pct:40/0/default.jpg",,,,,468,13 V,2707,1365,195,247,
"https://stacks.stanford.edu/image/iiif/xk876dn8316%2F485_177_V_TC_46/3242,6380,172,162/pct:40/0/default.jpg",,,,,485,177 V,3242,6380,172,162,
"https://stacks.stanford.edu/image/iiif/jz069xd3008%2F269_172_V_TC_46/1125,2190,350,390/pct:40/0/default.jpg",,,,,269,172 V,1125,2190,350,390,
"https://stacks.stanford.edu/image/iiif/wn160sd8740%2F273_126_R_TC_46/3202,5382,275,405/pct:40/0/default.jpg",,,,,273,126 R,3202,5382,275,405,
"https://stacks.stanford.edu/image/iiif/qy662bj1544%2F049_289_R_TC_46/2570,377,215,232/pct:40/0/default.jpg",,,,,49,289 R,2570,377,215,232,
"https://stacks.stanford.edu/image/iiif/jm097by4127%2F511_085_V_TC_46/852,3362,360,347/pct:40/0/default.jpg",,,,,511,85 V,852,3362,360,347,
"https://stacks.stanford.edu/image/iiif/xj710dc7305%2F029_034_V_FLD_A_TC_46/4612,2410,170,140/pct:40/0/default.jpg",,,,,29,34 V,4612,2410,170,140,
"https://stacks.stanford.edu/image/iiif/sw561ph9670%2F468_012_V_TC_46/2617,1275,210,172/pct:40/0/default.jpg",,,,,468,12 V,2617,1275,210,172,
"https://stacks.stanford.edu/image/iiif/sw561ph9670%2F468_158_R_TC_46/1807,3370,192,195/pct:40/0/default.jpg",,,,,468,158 R,1807,3370,192,195,
"https://stacks.stanford.edu/image/iiif/yw579bn5109%2F130_147_R_TC_46/1205,817,147,172/pct:40/0/default.jpg",,,,,130,147 R,1205,817,147,172,
"https://stacks.stanford.edu/image/iiif/hg483cz7854%2F055_098_V_TC_46/735,4625,387,82/pct:40/0/default.jpg",,,,,55,98 V,735,4625,387,82,
"https://stacks.stanford.edu/image/iiif/xb003nj3345%2F051_243_TC_46/260,3065,397,582/pct:40/0/default.jpg",,,,,51,243,260,3065,397,582,
"https://stacks.stanford.edu/image/iiif/gc974js8368%2F135_009_V_TC_46/1282,2322,592,417/pct:40/0/default.jpg",,,,,135,9 V,1282,2322,592,417,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_202_V_TC_46/3660,257,152,197/pct:40/0/default.jpg",,,,,10,202 V,3660,257,152,197,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_141_R_TC_46/1360,4505,375,132/pct:40/0/default.jpg",,,,,75,141 R,1360,4505,375,132,
"https://stacks.stanford.edu/image/iiif/tr552jm2166%2F312_285_TC_46/42,1037,1442,707/pct:40/0/default.jpg",,,,,312,285,42,1037,1442,707,
"https://stacks.stanford.edu/image/iiif/tq577rd4321%2F469_142_V_TC_46/1545,535,95,150/pct:40/0/default.jpg",,,,,469,142 V,1545,535,95,150,
"https://stacks.stanford.edu/image/iiif/fs743fm9703%2F046_011a_R_TC_46/3245,832,335,162/pct:40/0/default.jpg",,,,,46,11a R,3245,832,335,162,
"https://stacks.stanford.edu/image/iiif/js431dq0778%2F321_211_V_TC_46/2230,1662,272,147/pct:40/0/default.jpg",,,,,321,211 V,2230,1662,272,147,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_132_V_TC_46/4745,1752,137,175/pct:40/0/default.jpg",,,,,10,132 V,4745,1752,137,175,
"https://stacks.stanford.edu/image/iiif/vy908wk5791%2F366_027_R_TC_46/2,2812,342,1130/pct:40/0/default.jpg",,,,,366,27 R,2,2812,342,1130,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_178_V_TC_46/4080,1440,162,142/pct:40/0/default.jpg",,,,,271,178 V,4080,1440,162,142,
"https://stacks.stanford.edu/image/iiif/nh277tk2537%2F265_418_TC_46/242,1920,172,172/pct:40/0/default.jpg",,,,,265,418,242,1920,172,172,
"https://stacks.stanford.edu/image/iiif/vb856kp8798%2F002II_147_R_TC_46/2792,4812,92,267/pct:40/0/default.jpg",,,,,2II,147 R,2792,4812,92,267,
