URL,letter,primary color,secondary colors,is_error,ms_no,folio,x,y,w,h,notes
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_267_V_TC_46/1665,1200,477,1215/pct:40/0/default.jpg",,,,,10,267 V,1665,1200,477,1215,
"https://stacks.stanford.edu/image/iiif/js431dq0778%2F321_198_R_TC_46/1340,862,942,972/pct:40/0/default.jpg",,,,,321,198 R,1340,862,942,972,
"https://stacks.stanford.edu/image/iiif/rf713dy4795%2F484_663_R_TC_46/2560,3980,125,412/pct:40/0/default.jpg",,,,,484,663 R,2560,3980,125,412,
"https://stacks.stanford.edu/image/iiif/vy908wk5791%2F366_118_V_TC_46/405,2042,547,762/pct:40/0/default.jpg",,,,,366,118 V,405,2042,547,762,
"https://stacks.stanford.edu/image/iiif/pq574zw4714%2F463_570_R_TC_46/1602,4492,270,555/pct:40/0/default.jpg",,,,,463,570 R,1602,4492,270,555,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_004_V_TC_46/3330,4865,242,1722/pct:40/0/default.jpg",,,,,271,4 V,3330,4865,242,1722,
"https://stacks.stanford.edu/image/iiif/jz764vk2561%2F315_93_R_TC_46/2490,1935,1005,590/pct:40/0/default.jpg",,,,,315,93 R,2490,1935,1005,590,
"https://stacks.stanford.edu/image/iiif/rf713dy4795%2F484_238_V_TC_46/355,2355,925,3662/pct:40/0/default.jpg",,,,,484,238 V,355,2355,925,3662,
"https://stacks.stanford.edu/image/iiif/xd956wx5361%2F022_168_R_TC_46/362,2950,390,720/pct:40/0/default.jpg",,,,,22,168 R,362,2950,390,720,
"https://stacks.stanford.edu/image/iiif/xj710dc7305%2F029_100_V_TC_46/1362,567,440,1180/pct:40/0/default.jpg",,,,,29,100 V,1362,567,440,1180,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_112_V_TC_46/2815,5580,2097,1835/pct:40/0/default.jpg",,,,,11,112 V,2815,5580,2097,1835,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_269_R_TC_46/2,2355,615,1612/pct:40/0/default.jpg",,,,,16II,269 R,2,2355,615,1612,
"https://stacks.stanford.edu/image/iiif/wh417sx8653%2F441_116_TC_46/2187,3922,220,507/pct:40/0/default.jpg",,,,,441,116,2187,3922,220,507,
"https://stacks.stanford.edu/image/iiif/kb304wh5721%2F327_134_R_TC_46/270,1222,197,430/pct:40/0/default.jpg",,,,,327,134 R,270,1222,197,430,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_312_V_TC_46/3185,4020,512,1742/pct:40/0/default.jpg",,,,,271,312 V,3185,4020,512,1742,
"https://stacks.stanford.edu/image/iiif/kb304wh5721%2F327_197_V_TC_46/315,3645,392,985/pct:40/0/default.jpg",,,,,327,197 V,315,3645,392,985,
"https://stacks.stanford.edu/image/iiif/hr471qc4349%2F437_241_R_TC_46/102,580,435,685/pct:40/0/default.jpg",,,,,437,241 R,102,580,435,685,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_147_R_TC_46/75,6362,392,842/pct:40/0/default.jpg",,,,,16II,147 R,75,6362,392,842,
"https://stacks.stanford.edu/image/iiif/hp146pz7537%2F072_91_V_TC_46/1252,3380,630,740/pct:40/0/default.jpg",,,,,72,91 V,1252,3380,630,740,
"https://stacks.stanford.edu/image/iiif/qy662bj1544%2F049_188_V_TC_46/3422,2375,537,1150/pct:40/0/default.jpg",,,,,49,188 V,3422,2375,537,1150,
"https://stacks.stanford.edu/image/iiif/kb304wh5721%2F327_077_R_TC_46/280,3735,387,412/pct:40/0/default.jpg",,,,,327,77 R,280,3735,387,412,
"https://stacks.stanford.edu/image/iiif/sp968bx9690%2F050_171_V_TC_46/3447,4067,430,1225/pct:40/0/default.jpg",,,,,50,171 V,3447,4067,430,1225,
"https://stacks.stanford.edu/image/iiif/gn055tc5638%2F300_23_V_TC_46/1097,3907,1302,2237/pct:40/0/default.jpg",,,,,300,23 V,1097,3907,1302,2237,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_244_R_TC_46/2280,5327,487,1910/pct:40/0/default.jpg",,,,,16II,244 R,2280,5327,487,1910,
"https://stacks.stanford.edu/image/iiif/hr471qc4349%2F437_239_R_TC_46/1860,465,277,330/pct:40/0/default.jpg",,,,,437,239 R,1860,465,277,330,
"https://stacks.stanford.edu/image/iiif/xj710dc7305%2F029_153_V_TC_46/1540,960,350,387/pct:40/0/default.jpg",,,,,29,153 V,1540,960,350,387,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_032_R_TC_46/2227,5782,217,285/pct:40/0/default.jpg",,,,,75,32 R,2227,5782,217,285,
"https://stacks.stanford.edu/image/iiif/rb715wf5291%2F083_95_V_TC_46/1787,6020,497,1432/pct:40/0/default.jpg",,,,,83,95 V,1787,6020,497,1432,
"https://stacks.stanford.edu/image/iiif/ky226pt1201%2F406_080_V_TC_46/462,3987,267,717/pct:40/0/default.jpg",,,,,406,80 V,462,3987,267,717,
"https://stacks.stanford.edu/image/iiif/rf352tc5448%2F026_125_R_TC_46/242,3955,312,552/pct:40/0/default.jpg",,,,,26,125 R,242,3955,312,552,
"https://stacks.stanford.edu/image/iiif/xb003nj3345%2F051_207_TC_46/137,3922,275,2350/pct:40/0/default.jpg",,,,,51,207,137,3922,275,2350,
"https://stacks.stanford.edu/image/iiif/js431dq0778%2F321_161_R_TC_46/1647,475,495,1107/pct:40/0/default.jpg",,,,,321,161 R,1647,475,495,1107,
"https://stacks.stanford.edu/image/iiif/kb304wh5721%2F327_213_V_TC_46/2070,1437,282,612/pct:40/0/default.jpg",,,,,327,213 V,2070,1437,282,612,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_119_R_TC_46/335,1945,337,1707/pct:40/0/default.jpg",,,,,16II,119 R,335,1945,337,1707,
"https://stacks.stanford.edu/image/iiif/pq574zw4714%2F463_314_R_TC_46/1665,3025,230,3010/pct:40/0/default.jpg",,,,,463,314 R,1665,3025,230,3010,
"https://stacks.stanford.edu/image/iiif/xj710dc7305%2F029_074_R_TC_46/2397,3455,497,1120/pct:40/0/default.jpg",,,,,29,74 R,2397,3455,497,1120,
"https://stacks.stanford.edu/image/iiif/xb003nj3345%2F051_164_TC_46/1345,2352,447,652/pct:40/0/default.jpg",,,,,51,164,1345,2352,447,652,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_198_V_TC_46/3235,4905,560,1082/pct:40/0/default.jpg",,,,,16II,198 V,3235,4905,560,1082,
"https://stacks.stanford.edu/image/iiif/gy884xh4155%2F262_31_V_TC_46/925,4330,2365,2342/pct:40/0/default.jpg",,,,,262,31 V,925,4330,2365,2342,
"https://stacks.stanford.edu/image/iiif/tn930ym5616%2F628_083_V_TC_46/605,2182,670,557/pct:40/0/default.jpg",,,,,628,83 V,605,2182,670,557,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_211_R_TC_46/3860,1370,240,1112/pct:40/0/default.jpg",,,,,10,211 R,3860,1370,240,1112,
"https://stacks.stanford.edu/image/iiif/wx717zj2675%2F048_117_V_TC_46/3002,2102,212,562/pct:40/0/default.jpg",,,,,48,117 V,3002,2102,212,562,
"https://stacks.stanford.edu/image/iiif/pk169zy5002%2F271_178_R_TC_46/755,910,277,1835/pct:40/0/default.jpg",,,,,271,178 R,755,910,277,1835,
