"","DocID","x","y","w","h","image.width","image.height","perc.x","perc.y","perc.w","perc.h"
"51","fs743fm9703%2F046_154_V_TC_46",3820,4845,523,853,6166,8754,61.9526435290302,55.3461274845785,8.48199805384366,9.7441169750971
"52","fs743fm9703%2F046_187_V_TC_46",3795,4658,408,578,6178,8694,61.4276464875364,53.5771796641362,6.60407898996439,6.6482631700023
"53","fs743fm9703%2F046_193_V_TC_46",1448,928,525,1140,6106,8706,23.7143792990501,10.6593154146566,8.59810022928267,13.0944176430048
"54","fs743fm9703%2F046_196_R_TC_46",2380,2205,458,1228,6118,8647,38.9016018306636,25.5001734705678,7.48610657077476,14.2014571527697
"55","fs743fm9703%2F046_196_V_TC_46",3730,5390,438,1098,6142,8730,60.7294041028981,61.7411225658648,7.13122761315532,12.5773195876289
"56","fs743fm9703%2F046_204_V_TC_46",1410,3088,550,525,6070,8718,23.2289950576606,35.4209681119523,9.06095551894563,6.02202339986235
"57","fs743fm9703%2F046_219_V_TC_46",3760,4428,435,710,6094,8694,61.7000328191664,50.9316770186335,7.13816869051526,8.16655164481251
"58","qy662bj1544%2F049_105_R_TC_46",2263,2560,335,1270,5648,9014,40.0672804532578,28.4002662524961,5.93130311614731,14.0891945861992
"59","qy662bj1544%2F049_105_R_TC_46",470,3745,295,1113,5648,9014,8.32152974504249,41.5464832482805,5.22308781869688,12.3474595074329
"60","qy662bj1544%2F049_107_V_TC_46",3430,3063,443,1868,5683,9022,60.355446067218,33.9503436045223,7.79517860285061,20.7049434715141
"61","qy662bj1544%2F049_107_V_TC_46",3513,4920,318,763,5683,9022,61.8159422840049,54.5333628907116,5.5956361076896,8.45710485479938
"62","qy662bj1544%2F049_107_V_TC_46",1653,3650,385,783,5683,9022,29.0867499560092,40.4566614941255,6.7745908850959,8.67878519175349
"63","qy662bj1544%2F049_108_R_TC_46",2225,2593,400,1670,5732,9024,38.8171667829728,28.7344858156028,6.97836706210747,18.5062056737589
"64","qy662bj1544%2F049_108_V_TC_46",1643,5888,560,1270,5707,8934,28.7892062379534,65.9055294381016,9.81251095146312,14.2153570629058
"65","qy662bj1544%2F049_108_V_TC_46",3410,5925,480,1153,5707,8934,59.7511827580165,66.3196776359973,8.41072367268267,12.9057533019924
"66","qy662bj1544%2F049_108_V_TC_46",3475,3370,443,1825,5707,8934,60.8901349220256,37.72106559212,7.76239705624671,20.4275800313409
"67","qy662bj1544%2F049_110_R_TC_46",2233,3233,418,1653,5783,9062,38.6131765519626,35.6764511145442,7.22808231021961,18.2410064003531
"68","qy662bj1544%2F049_111_V_TC_46",3553,850,373,1125,5792,8941,61.3432320441989,9.50676658091936,6.43991712707182,12.5824851806286
"69","qy662bj1544%2F049_112_R_TC_46",398,4573,483,1583,5694,8926,6.98981383912891,51.2323549182165,8.48261327713383,17.7347075957876
"70","qy662bj1544%2F049_112_R_TC_46",2190,1545,480,1443,5694,8926,38.4615384615385,17.3089849876764,8.42992623814542,16.1662558816939
