URL,ms_no,page,rv,x,y,w,h,color
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_099_V_TC_46/5035,3053,515,140/pct:40/0/default.jpg",011,099,V,5035,3053,515,140,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_099_V_TC_46/4780,3198,770,158/pct:40/0/default.jpg",011,099,V,4780,3198,770,158,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_100_R_TC_46/2670,953,1483,163/pct:40/0/default.jpg",011,100,R,2670,953,1483,163,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_100_R_TC_46/125,8655,1825,120/pct:40/0/default.jpg",011,100,R,125,8655,1825,120,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_100_R_TC_46/2235,8655,1918,120/pct:40/0/default.jpg",011,100,R,2235,8655,1918,120,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_104_R_TC_46/2810,6730,1323,145/pct:40/0/default.jpg",011,104,R,2810,6730,1323,145,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_105_R_TC_46/133,840,1835,148/pct:40/0/default.jpg",011,105,R,133,840,1835,148,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_105_V_TC_46/4003,683,1570,310/pct:40/0/default.jpg",011,105,V,4003,683,1570,310,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_108_R_TC_46/130,1600,1810,155/pct:40/0/default.jpg",011,108,R,130,1600,1810,155,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_109_R_TC_46/2390,4480,1773,155/pct:40/0/default.jpg",011,109,R,2390,4480,1773,155,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_115_V_TC_46/3930,3233,1683,170/pct:40/0/default.jpg",011,115,V,3930,3233,1683,170,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_116_R_TC_46/2305,3395,1775,173/pct:40/0/default.jpg",011,116,R,2305,3395,1775,173,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_118_R_TC_46/2280,995,1865,173/pct:40/0/default.jpg",011,118,R,2280,995,1865,173,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_118_R_TC_46/225,2255,1593,168/pct:40/0/default.jpg",011,118,R,225,2255,1593,168,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_119_V_TC_46/1908,3345,1760,185/pct:40/0/default.jpg",011,119,V,1908,3345,1760,185,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_120_R_TC_46/683,2140,1088,168/pct:40/0/default.jpg",011,120,R,683,2140,1088,168,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_120_R_TC_46/2198,5025,1893,170/pct:40/0/default.jpg",011,120,R,2198,5025,1893,170,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_120_V_TC_46/1753,3,1920,213/pct:40/0/default.jpg",011,120,V,1753,3,1920,213,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_120_V_TC_46/3958,3,1470,213/pct:40/0/default.jpg",011,120,V,3958,3,1470,213,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_126_R_TC_46/245,3,1663,150/pct:40/0/default.jpg",011,126,R,245,3,1663,150,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_126_R_TC_46/2230,3,1963,150/pct:40/0/default.jpg",011,126,R,2230,3,1963,150,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_144_R_TC_46/123,3878,1838,193/pct:40/0/default.jpg",011,144,R,123,3878,1838,193,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_144_V_TC_46/5045,5,480,138/pct:40/0/default.jpg",011,144,V,5045,5,480,138,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_144_V_TC_46/3980,6065,1715,170/pct:40/0/default.jpg",011,144,V,3980,6065,1715,170,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_152_R_TC_46/185,4593,1038,163/pct:40/0/default.jpg",011,152,R,185,4593,1038,163,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_154_R_TC_46/2748,3108,1313,165/pct:40/0/default.jpg",011,154,R,2748,3108,1313,165,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_167_V_TC_46/3930,5048,1723,155/pct:40/0/default.jpg",011,167,V,3930,5048,1723,155,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_167_V_TC_46/3930,5208,1648,168/pct:40/0/default.jpg",011,167,V,3930,5208,1648,168,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_185_V_TC_46/3840,2473,1843,183/pct:40/0/default.jpg",011,185,V,3840,2473,1843,183,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_188_V_TC_46/1668,3,1855,150/pct:40/0/default.jpg",011,188,V,1668,3,1855,150,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_188_V_TC_46/3890,3,1843,150/pct:40/0/default.jpg",011,188,V,3890,3,1843,150,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_192_V_TC_46/1890,1998,1715,148/pct:40/0/default.jpg",011,192,V,1890,1998,1715,148,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_192_V_TC_46/1783,2150,1823,165/pct:40/0/default.jpg",011,192,V,1783,2150,1823,165,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_193_V_TC_46/4600,1865,1178,135/pct:40/0/default.jpg",011,193,V,4600,1865,1178,135,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_193_V_TC_46/4085,2005,1693,165/pct:40/0/default.jpg",011,193,V,4085,2005,1693,165,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_196_R_TC_46/353,4033,1585,180/pct:40/0/default.jpg",011,196,R,353,4033,1585,180,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_203_R_TC_46/2418,2268,1768,160/pct:40/0/default.jpg",011,203,R,2418,2268,1768,160,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_205_V_TC_46/3963,2390,1820,173/pct:40/0/default.jpg",011,205,V,3963,2390,1820,173,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_209_R_TC_46/775,6228,1030,155/pct:40/0/default.jpg",011,209,R,775,6228,1030,155,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_209_R_TC_46/270,6388,1495,153/pct:40/0/default.jpg",011,209,R,270,6388,1495,153,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_209_V_TC_46/3915,625,1820,363/pct:40/0/default.jpg",011,209,V,3915,625,1820,363,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_209_V_TC_46/1663,6665,1848,188/pct:40/0/default.jpg",011,209,V,1663,6665,1848,188,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_210_R_TC_46/2423,1900,1833,153/pct:40/0/default.jpg",011,210,R,2423,1900,1833,153,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_210_R_TC_46/2505,2058,1730,175/pct:40/0/default.jpg",011,210,R,2505,2058,1730,175,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_211_R_TC_46/905,2730,1225,143/pct:40/0/default.jpg",011,211,R,905,2730,1225,143,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_211_R_TC_46/518,2878,1590,178/pct:40/0/default.jpg",011,211,R,518,2878,1590,178,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_211_V_TC_46/3920,4000,1898,308/pct:40/0/default.jpg",011,211,V,3920,4000,1898,308,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_216_R_TC_46/223,5455,1558,188/pct:40/0/default.jpg",011,216,R,223,5455,1558,188,
