URL,ms_no,page,rv,x,y,w,h,color
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_57_R_TC_46/2638,5443,430,718/pct:40/0/default.jpg",009,57,R,2638,5443,430,718,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_57_V_TC_46/1178,3245,185,728/pct:40/0/default.jpg",009,57,V,1178,3245,185,728,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_61_R_TC_46/2623,4635,333,430/pct:40/0/default.jpg",009,61,R,2623,4635,333,430,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_63_R_TC_46/2680,3405,738,498/pct:40/0/default.jpg",009,63,R,2680,3405,738,498,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_66_R_TC_46/2675,5425,315,505/pct:40/0/default.jpg",009,66,R,2675,5425,315,505,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_69_V_TC_46/3740,2335,333,388/pct:40/0/default.jpg",009,69,V,3740,2335,333,388,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_71_R_TC_46/2483,5548,425,743/pct:40/0/default.jpg",009,71,R,2483,5548,425,743,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_71_R_TC_46/2648,4738,933,508/pct:40/0/default.jpg",009,71,R,2648,4738,933,508,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_71_V_TC_46/3688,2293,355,303/pct:40/0/default.jpg",009,71,V,3688,2293,355,303,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_95_V_TC_46/995,708,588,783/pct:40/0/default.jpg",009,95,V,995,708,588,783,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_067_V_TC_46/5180,6680,125,230/pct:40/0/default.jpg",011,067,V,5180,6680,125,230,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_120_R_TC_46/1888,4780,510,2755/pct:40/0/default.jpg",011,120,R,1888,4780,510,2755,
"https://stacks.stanford.edu/image/iiif/qk423pn9162%2F011_220_V_TC_46/2818,583,108,275/pct:40/0/default.jpg",011,220,V,2818,583,108,275,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_004_V_TC_46/1098,508,323,445/pct:40/0/default.jpg",016II,004,V,1098,508,323,445,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_004_V_TC_46/1133,1450,373,418/pct:40/0/default.jpg",016II,004,V,1133,1450,373,418,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_004_V_TC_46/1145,2468,303,335/pct:40/0/default.jpg",016II,004,V,1145,2468,303,335,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_004_V_TC_46/1210,5195,318,325/pct:40/0/default.jpg",016II,004,V,1210,5195,318,325,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_005_R_TC_46/450,3373,423,500/pct:40/0/default.jpg",016II,005,R,450,3373,423,500,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_005_R_TC_46/498,4418,293,313/pct:40/0/default.jpg",016II,005,R,498,4418,293,313,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_005_R_TC_46/513,5945,348,358/pct:40/0/default.jpg",016II,005,R,513,5945,348,358,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_005_V_TC_46/1138,5193,315,343/pct:40/0/default.jpg",016II,005,V,1138,5193,315,343,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_005_V_TC_46/1180,4155,278,343/pct:40/0/default.jpg",016II,005,V,1180,4155,278,343,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_006_V_TC_46/1048,6000,475,388/pct:40/0/default.jpg",016II,006,V,1048,6000,475,388,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_006_V_TC_46/1195,1830,220,278/pct:40/0/default.jpg",016II,006,V,1195,1830,220,278,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_008_V_TC_46/1125,5088,333,305/pct:40/0/default.jpg",016II,008,V,1125,5088,333,305,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_008_V_TC_46/1060,6203,353,360/pct:40/0/default.jpg",016II,008,V,1060,6203,353,360,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_008_V_TC_46/1300,1815,200,358/pct:40/0/default.jpg",016II,008,V,1300,1815,200,358,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_010_V_TC_46/1148,1563,370,503/pct:40/0/default.jpg",016II,010,V,1148,1563,370,503,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_010_V_TC_46/1198,6263,415,380/pct:40/0/default.jpg",016II,010,V,1198,6263,415,380,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_010_V_TC_46/1203,910,258,360/pct:40/0/default.jpg",016II,010,V,1203,910,258,360,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_011_R_TC_46/415,2463,293,335/pct:40/0/default.jpg",016II,011,R,415,2463,293,335,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_233_R_TC_46/173,6385,405,230/pct:40/0/default.jpg",016II,233,R,173,6385,405,230,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_233_R_TC_46/2508,1413,215,183/pct:40/0/default.jpg",016II,233,R,2508,1413,215,183,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_233_R_TC_46/298,3975,250,240/pct:40/0/default.jpg",016II,233,R,298,3975,250,240,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_233_R_TC_46/328,5610,133,280/pct:40/0/default.jpg",016II,233,R,328,5610,133,280,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_233_V_TC_46/1083,4368,290,183/pct:40/0/default.jpg",016II,233,V,1083,4368,290,183,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_233_V_TC_46/1083,5723,410,423/pct:40/0/default.jpg",016II,233,V,1083,5723,410,423,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_233_V_TC_46/1200,3378,118,268/pct:40/0/default.jpg",016II,233,V,1200,3378,118,268,
"https://stacks.stanford.edu/image/iiif/xd956wx5361%2F022_078_V_TC_46/3835,843,395,475/pct:40/0/default.jpg",022,078,V,3835,843,395,475,
"https://stacks.stanford.edu/image/iiif/xd956wx5361%2F022_118_V_TC_46/3623,5378,540,543/pct:40/0/default.jpg",022,118,V,3623,5378,540,543,
"https://stacks.stanford.edu/image/iiif/xd956wx5361%2F022_129_V_TC_46/3663,2183,505,523/pct:40/0/default.jpg",022,129,V,3663,2183,505,523,
"https://stacks.stanford.edu/image/iiif/nz663nv2057%2F023_057_V_TC_46/753,2703,110,215/pct:40/0/default.jpg",023,057,V,753,2703,110,215,
"https://stacks.stanford.edu/image/iiif/nz663nv2057%2F023_123_V_TC_46/3798,1903,223,380/pct:40/0/default.jpg",023,123,V,3798,1903,223,380,
"https://stacks.stanford.edu/image/iiif/nz663nv2057%2F023_124_V_TC_46/3795,4268,290,205/pct:40/0/default.jpg",023,124,V,3795,4268,290,205,
"https://stacks.stanford.edu/image/iiif/nz663nv2057%2F023_125_V_TC_46/1228,615,410,608/pct:40/0/default.jpg",023,125,V,1228,615,410,608,
"https://stacks.stanford.edu/image/iiif/nz663nv2057%2F023_125_V_TC_46/1290,3830,375,378/pct:40/0/default.jpg",023,125,V,1290,3830,375,378,
"https://stacks.stanford.edu/image/iiif/sm247tk3982%2F028_11_R_TC_46/58,4803,1118,1615/pct:40/0/default.jpg",028,11,R,58,4803,1118,1615,
"https://stacks.stanford.edu/image/iiif/sm247tk3982%2F028_13_R_TC_46/2020,1000,675,843/pct:40/0/default.jpg",028,13,R,2020,1000,675,843,
"https://stacks.stanford.edu/image/iiif/sm247tk3982%2F028_42_V_TC_46/2583,4738,953,1465/pct:40/0/default.jpg",028,42,V,2583,4738,953,1465,
"https://stacks.stanford.edu/image/iiif/sm247tk3982%2F028_51_R_TC_46/2068,2388,580,808/pct:40/0/default.jpg",028,51,R,2068,2388,580,808,
